;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
November '25;23,7 (45);16,6 (30);25,7 (47);5,3 (9);5,8 (10);4,5 (8);3,6 (2);4,2 (7);6,6 (11);4,0 (0)
Oktober '25;27,8 (52);15,3 (26);24,0 (45);5,8 (10);5,2 (9);4,2 (7);3,8 (2);4,5 (8);6,2 (10);3,7 (0)
September '25;27,1 (51);14,4 (26);21,0 (39);6,0 (10);5,9 (9);4,7 (7);4,3 (7);6,2 (10);6,0 (10);4,4 (0)
August '25;27,3 (51);15,3 (28);21,2 (40);6,3 (10);6,2 (10);4,6 (7);4,2 (7);4,3 (7);6,1 (9);4,5 (0)
Juli '25;27,7 (51);14,8 (28);21,5 (40);8,2 (15);6,3 (12);3,2 (1);4,7 (9);3,5 (2);5,9 (11);4,1 (0)
Juni '25;28,3 (52);16,2 (30);21,0 (40);6,9 (13);5,6 (10);3,7 (3);4,5 (8);3,0 (2);6,2 (11);4,5 (0)
Mai '25;28,5 (52);18,7 (35);20,6 (39);7,0 (13);5,7 (10);3,6 (3);4,1 (7);2,7 (1);5,3 (9);3,8 (0)
April '25;28,1 (53);19,8 (38);20,0 (38);6,3 (12);6,7 (13);3,3 (1);3,9 (3);3,1 (2);4,8 (9);3,9 (0)
Mars '25;28,1 (55);18,8 (33);22,7 (42);7,2 (13);4,9 (9);3,1 (1);4,3 (7);2,7 (1);4,6 (8);3,4 (0)
Februar '25;24,8 (46);18,4 (33);24,6 (45);7,4 (13);6,6 (12);3,0 (1);4,2 (8);2,4 (1);5,4 (10);3,2 (0)
Januar '25;19,0 (35);21,7 (40);24,4 (45);8,1 (15);6,2 (12);3,4 (2);4,5 (8);3,3 (2);5,4 (10);4,0 (0)
Desember '24;17,2 (32);21,2 (38);25,4 (49);9,4 (17);5,3 (9);3,9 (3);5,3 (10);3,1 (1);5,8 (10);3,5 (0)
November '24;18,7 (35);22,4 (40);22,0 (43);9,0 (16);6,6 (12);3,1 (1);5,1 (9);3,4 (2);5,9 (11);3,8 (0)
Oktober '24;19,9 (36);23,4 (42);20,3 (39);8,8 (16);5,8 (11);3,3 (2);5,5 (10);3,5 (2);5,9 (11);3,7 (0)
September '24;20,6 (39);24,6 (45);18,9 (36);9,0 (16);6,0 (11);2,9 (1);5,1 (9);3,3 (2);5,6 (10);3,9 (0)
August '24;20,7 (40);25,2 (46);16,4 (30);9,1 (17);6,2 (11);3,9 (3);5,2 (10);3,6 (2);5,7 (10);4,2 (0)
Juli '24;21,1 (42);24,9 (45);16,5 (32);9,5 (17);4,7 (8);3,9 (3);5,6 (10);3,7 (2);5,4 (10);4,7 (0)
Juni '24;19,7 (37);24,2 (44);17,2 (32);9,7 (18);6,3 (11);3,5 (2);5,9 (11);3,4 (2);6,6 (12);3,5 (0)
Mai '24;19,9 (38);25,2 (45);17,1 (31);9,3 (16);6,1 (10);4,1 (7);5,9 (10);3,7 (3);5,0 (9);3,8 (0)
April '24;19,5 (38);26,4 (49);15,2 (28);10,0 (18);6,2 (12);3,8 (2);5,5 (10);3,6 (2);5,5 (10);4,2 (0)
Mars '24;18,2 (35);26,5 (50);14,8 (28);9,9 (16);6,5 (11);3,8 (2);5,9 (10);4,0 (7);5,8 (10);4,6 (0)
Februar '24;19,0 (37);27,7 (52);13,8 (26);9,9 (16);6,2 (10);4,0 (7);5,8 (10);3,6 (2);5,2 (9);4,6 (0)
Januar '24;19,3 (40);25,8 (48);13,1 (24);10,6 (19);6,8 (12);4,0 (3);5,9 (11);3,4 (2);5,2 (10);6,0 (0)
Desember '23;18,9 (38);25,6 (48);13,4 (25);10,9 (21);6,8 (13);3,8 (2);5,4 (10);3,6 (2);5,4 (10);6,3 (0)
November '23;19,3 (40);26,3 (49);13,0 (23);9,9 (16);5,7 (9);4,1 (7);6,2 (10);4,1 (7);5,2 (8);6,5 (0)
Oktober '23;20,4 (41);25,8 (49);13,0 (24);9,4 (17);6,2 (11);3,9 (3);5,7 (11);3,7 (3);5,3 (10);6,7 (0)
September '23;19,7 (39);28,2 (52);12,9 (24);8,7 (15);6,3 (11);3,6 (3);5,4 (9);4,0 (7);5,1 (9);5,7 (0)
August '23;18,5 (37);30,4 (57);12,7 (24);8,8 (16);6,5 (12);3,5 (2);4,9 (9);3,9 (3);5,0 (9);6,0 (0)
Juli '23;19,7 (39);29,8 (55);14,2 (26);7,4 (13);7,0 (13);3,5 (2);4,8 (9);3,4 (2);5,4 (10);5,2 (0)
Juni '23;18,6 (36);31,4 (59);12,4 (23);8,2 (15);6,2 (12);3,8 (3);4,5 (8);3,6 (2);6,2 (11);5,3 (0)
Mai '23;18,7 (36);31,7 (57);12,1 (22);8,5 (15);6,2 (11);4,0 (7);4,5 (8);3,7 (3);5,8 (10);4,9 (0)
April '23;18,2 (36);31,5 (58);12,2 (23);8,6 (16);5,7 (10);3,7 (3);4,9 (9);3,9 (3);5,9 (11);5,5 (0)
Mars '23;17,1 (34);32,5 (60);12,1 (22);9,1 (17);6,1 (11);3,8 (3);4,8 (9);3,4 (2);6,1 (11);4,9 (0)
Februar '23;18,5 (36);31,7 (59);12,7 (23);8,6 (16);5,7 (10);3,6 (3);4,4 (8);3,4 (2);6,7 (12);4,8 (0)
Januar '23;19,1 (37);30,9 (57);12,9 (24);8,6 (16);6,1 (11);3,2 (2);4,3 (8);3,6 (2);6,3 (12);5,0 (0)
Desember '22;17,8 (35);32,4 (59);12,0 (22);9,3 (17);5,4 (10);3,2 (2);4,7 (9);3,7 (2);7,1 (13);4,4 (0)
November '22;18,1 (36);30,9 (57);13,4 (25);8,5 (16);5,2 (10);3,6 (3);4,5 (8);3,8 (2);6,7 (12);5,1 (0)
Oktober '22;19,6 (37);29,2 (54);13,5 (25);9,1 (17);6,0 (11);3,5 (2);4,2 (8);3,8 (3);6,6 (12);4,6 (0)
September '22;20,0 (37);28,8 (53);14,0 (26);8,1 (15);5,9 (11);3,5 (2);4,7 (9);3,5 (2);7,5 (14);4,2 (0)
August '22;20,6 (39);28,7 (52);13,8 (25);8,6 (16);6,4 (12);3,7 (3);4,3 (8);3,6 (2);6,7 (12);3,9 (0)
Juli '22;21,3 (40);29,2 (53);13,6 (25);9,2 (17);6,2 (11);3,2 (2);4,2 (8);3,3 (2);6,2 (11);4,0 (0)
Juni '22;21,5 (41);27,1 (49);14,3 (26);9,1 (17);7,2 (13);3,2 (2);4,5 (8);3,5 (2);6,0 (11);3,7 (0)
Mai '22;22,7 (42);27,3 (50);12,9 (24);8,1 (15);7,1 (13);3,7 (3);4,8 (9);3,4 (2);6,3 (11);3,7 (0)
April '22;23,6 (44);27,5 (50);12,5 (23);8,0 (15);7,3 (13);3,3 (2);4,8 (9);3,4 (2);6,1 (11);3,5 (0)
Mars '22;22,8 (44);26,6 (49);11,5 (21);7,8 (14);8,3 (15);3,5 (2);4,6 (8);3,7 (2);7,6 (14);3,8 (0)
Februar '22;21,9 (41);25,5 (47);11,5 (21);9,2 (17);8,3 (15);3,2 (2);4,4 (8);3,1 (2);9,1 (16);3,7 (0)
Januar '22;21,9 (41);25,3 (46);11,9 (22);9,2 (17);9,7 (18);3,3 (2);4,3 (8);4,0 (3);6,9 (12);3,5 (0)
Desember '21;23,0 (43);24,2 (44);11,7 (21);9,5 (17);10,9 (20);3,2 (2);5,0 (9);3,4 (2);5,9 (11);3,4 (0)
November '21;26,1 (49);21,3 (38);11,2 (20);8,8 (15);12,7 (25);3,2 (2);4,7 (8);3,9 (3);5,4 (9);2,9 (0)
Oktober '21;26,6 (49);20,7 (37);11,1 (20);8,7 (16);13,3 (25);3,5 (2);4,6 (8);3,7 (3);4,9 (9);3,0 (0)
September '21;24,4 (46);19,4 (34);11,3 (19);9,2 (16);12,9 (26);4,0 (3);4,7 (8);4,9 (8);5,4 (9);3,8 (0)
August '21;24,0 (48);20,1 (34);10,3 (17);8,8 (14);14,1 (29);3,6 (2);4,1 (7);5,5 (9);5,2 (9);4,4 (0)
Juli '21;24,3 (46);20,0 (36);9,9 (18);7,7 (14);17,6 (33);3,2 (2);3,5 (2);4,5 (8);5,6 (10);3,9 (0)
Juni '21;24,5 (45);21,6 (39);10,2 (18);7,8 (14);17,5 (32);3,3 (2);2,9 (2);4,1 (7);5,2 (10);3,0 (0)
Mai '21;24,0 (46);22,6 (40);10,3 (18);8,0 (14);16,5 (31);3,8 (3);3,3 (2);4,1 (7);4,3 (8);3,0 (0)
April '21;23,6 (44);23,5 (42);9,9 (18);8,0 (14);17,5 (32);3,4 (2);2,9 (2);4,3 (8);4,2 (7);2,8 (0)
Mars '21;22,2 (42);24,1 (45);9,7 (18);7,6 (14);19,0 (36);3,1 (1);3,0 (2);3,8 (3);4,4 (8);3,0 (0)
Februar '21;21,4 (42);25,6 (47);8,5 (16);7,4 (14);19,3 (37);3,2 (2);3,2 (2);4,5 (8);3,9 (1);3,1 (0)
Januar '21;20,4 (37);24,7 (45);9,5 (17);8,0 (14);20,7 (39);3,4 (1);2,5 (2);4,0 (7);4,0 (7);2,7 (0)
Desember '20;21,2 (38);22,3 (40);11,0 (20);7,5 (14);21,0 (38);3,4 (3);3,3 (2);4,1 (7);4,1 (7);2,0 (0)
November '20;21,5 (40);23,2 (42);12,1 (22);7,2 (13);18,6 (33);3,3 (2);3,4 (2);4,3 (8);4,1 (7);2,3 (0)
Oktober '20;21,4 (39);24,5 (43);12,7 (22);7,0 (12);16,3 (32);3,6 (3);3,5 (2);4,4 (8);4,4 (8);2,1 (0)
September '20;22,9 (43);24,7 (45);12,6 (23);7,8 (14);14,1 (25);3,7 (2);3,2 (2);4,7 (8);4,1 (7);2,2 (0)
August '20;24,4 (46);25,4 (45);11,0 (19);7,3 (13);14,0 (25);3,8 (2);2,9 (2);5,1 (9);4,3 (8);1,8 (0)
Juli '20;24,1 (43);25,8 (47);10,6 (19);7,5 (14);13,2 (24);3,9 (2);3,2 (2);5,1 (9);5,0 (9);1,8 (0)
Juni '20;24,2 (45);25,0 (44);11,6 (21);7,2 (13);14,1 (25);3,6 (2);3,0 (2);5,2 (9);4,6 (8);1,7 (0)
Mai '20;25,9 (48);26,7 (50);9,9 (18);6,7 (12);14,0 (27);3,4 (2);3,1 (2);5,0 (9);4,0 (1);1,5 (0)
April '20;24,9 (46);26,0 (48);11,5 (21);7,3 (14);14,4 (27);3,6 (2);3,0 (2);4,5 (8);3,6 (1);1,3 (0)
Mars '20;24,6 (46);20,5 (36);12,9 (23);7,7 (13);16,6 (30);3,3 (2);3,1 (2);5,4 (9);4,3 (8);1,7 (0)
Februar '20;24,1 (45);19,0 (34);15,0 (27);6,9 (12);15,2 (27);4,0 (3);3,8 (3);5,5 (10);4,4 (8);1,9 (0)
Januar '20;25,5 (47);20,5 (37);12,8 (23);7,2 (13);15,9 (28);3,5 (2);2,7 (2);5,1 (9);4,6 (8);2,2 (0)
Desember '19;23,2 (43);21,2 (38);10,7 (19);7,6 (13);17,8 (33);3,4 (2);3,1 (2);5,6 (10);5,1 (9);2,4 (0)
November '19;22,5 (42);21,0 (38);9,8 (17);7,3 (13);19,2 (35);3,3 (2);3,2 (2);6,3 (11);4,9 (9);2,6 (0)
Oktober '19;23,6 (43);21,0 (38);9,8 (18);7,3 (13);17,3 (33);3,6 (2);3,4 (2);6,7 (12);4,6 (8);2,7 (0)
September '19;23,0 (42);21,3 (38);11,5 (20);7,6 (13);16,3 (32);3,6 (3);3,0 (2);6,7 (12);4,1 (7);3,1 (0)
August '19;24,0 (46);22,3 (39);10,2 (18);7,2 (12);15,2 (31);3,7 (2);2,9 (2);5,9 (10);5,1 (9);3,7 (0)
Juli '19;25,0 (48);21,6 (39);8,2 (15);7,7 (14);14,2 (29);3,9 (3);4,0 (3);5,2 (9);5,0 (9);5,5 (0)
Juni '19;25,3 (48);22,0 (38);10,4 (18);6,8 (12);14,7 (30);3,2 (2);2,7 (2);5,4 (9);5,6 (10);3,9 (0)
Mai '19;26,0 (47);21,7 (39);12,2 (22);7,1 (13);14,5 (27);3,4 (2);2,8 (2);4,2 (8);5,1 (9);3,1 (0)
April '19;26,2 (48);22,5 (41);10,6 (20);7,5 (14);15,9 (30);3,5 (3);2,9 (2);3,9 (3);4,5 (8);2,6 (0)
Mars '19;26,7 (48);24,3 (43);11,3 (20);7,5 (13);13,7 (26);3,4 (2);2,2 (1);4,0 (7);5,0 (9);1,9 (0)
Februar '19;28,0 (51);22,9 (42);11,3 (21);7,7 (14);13,2 (25);3,5 (2);2,6 (2);3,4 (2);5,5 (10);2,0 (0)
Januar '19;28,3 (52);24,2 (45);12,3 (23);7,4 (14);11,9 (22);3,5 (2);3,3 (2);3,1 (2);4,0 (7);1,4 (0)
Desember '18;27,7 (51);25,0 (46);13,0 (24);7,0 (13);11,4 (21);3,6 (3);3,6 (2);3,0 (1);4,1 (8);1,3 (0)
November '18;28,7 (55);25,4 (49);12,8 (24);6,3 (12);11,3 (22);3,9 (3);3,7 (2);2,7 (1);3,9 (1);1,4 (0)
Oktober '18;27,2 (52);25,7 (47);13,3 (25);6,8 (13);11,0 (20);4,1 (8);3,4 (2);2,8 (1);3,9 (1);1,8 (0)
September '18;26,5 (49);26,2 (48);13,9 (26);6,4 (12);10,8 (20);3,5 (3);3,4 (2);2,8 (1);4,6 (8);1,9 (0)
August '18;26,1 (48);25,8 (46);12,8 (23);6,7 (12);11,7 (21);4,2 (7);3,8 (2);3,1 (2);4,6 (8);1,3 (0)
Juli '18;23,7 (45);26,3 (49);14,8 (28);7,5 (14);9,7 (18);5,0 (9);3,4 (2);3,7 (3);3,9 (1);2,0 (0)
Juni '18;23,2 (44);27,2 (47);13,4 (23);7,3 (13);11,0 (19);4,1 (7);4,1 (7);3,0 (1);4,8 (8);1,9 (0)
Mai '18;24,1 (45);26,8 (48);14,9 (27);7,2 (13);10,7 (19);4,0 (7);4,0 (7);2,9 (2);3,7 (1);1,7 (0)
April '18;23,8 (44);25,8 (46);15,8 (29);7,3 (13);10,9 (19);4,2 (7);3,7 (2);2,8 (1);4,3 (8);1,4 (0)
Mars '18;23,7 (43);27,1 (48);15,2 (28);6,6 (12);11,3 (20);4,0 (7);4,2 (8);2,9 (2);3,3 (1);1,5 (0)
Februar '18;23,3 (43);28,6 (51);13,7 (25);7,3 (13);10,7 (19);4,0 (7);4,3 (8);3,4 (2);3,2 (1);1,2 (0)
Januar '18;22,4 (40);29,0 (52);14,2 (25);7,5 (14);11,1 (20);4,2 (8);4,1 (7);3,0 (2);3,0 (1);1,4 (0)
Desember '17;26,2 (47);26,6 (48);14,4 (26);7,1 (13);10,6 (19);4,1 (7);4,0 (7);3,4 (2);2,4 (0);1,2 (0)
November '17;26,2 (48);26,4 (49);14,6 (27);6,9 (13);10,5 (19);3,8 (3);4,3 (8);2,8 (1);3,0 (1);1,2 (0)
